BrainMap Behavior,Experiments,IC-18,IC-14,IC-06,IC-16,IC-07,IC-20,IC-17,IC-04,IC-09,IC-13,IC-03,IC-08,IC-12
Action.Execution.Other,736,-0.014362102,0.020855115,0.043917451,-0.002771597,-0.006195424,-0.021980479,0.005292174,0.004436562,0.013752819,-0.041882029,-0.003210521,0.155992959,0.044214657
Action.Execution.Speech,158,-0.021858068,0.00588762,0.051645831,0.061522245,0.132710798,-0.026440827,0.05684813,0.052574647,0.008435471,-0.052413491,0.082897356,0.00479275,0.119732363
Action.Imagination,101,-0.02147175,0.015425513,0.006438926,0.038495284,-0.022300246,-0.013711073,0.016761631,0.018490986,0.019109791,-0.010325289,0.053987324,0.061218432,0.064612912
Action.Inhibition,237,-0.008630356,0.031891314,0.013043285,0.044064444,-0.011205861,-0.027616157,0.062310878,0.065368378,0.068049334,-0.009858044,0.032837405,0.020518132,0.028696236
Action.Motor Learning,26,-0.006059877,0.074601143,0.061026417,-0.019959207,-0.021767432,-0.019149026,0.030382315,-0.002560423,0.028356837,-0.032291476,-0.006823941,0.096429633,0.014041084
Action.Observation,161,0.013610519,0.00948933,0.002984201,0.009787552,0.011990343,-0.01730812,-0.007094401,0.025064468,0.040401377,-0.027256627,0.040287032,-0.00418009,0.055912028
Action.Preparation,52,-0.019619057,0.009078332,0.00586191,0.019018506,-0.035347921,-0.013923257,0.033071339,0.044191784,0.045387853,-0.015016516,0.015167284,0.066353301,0.029171335
Action.Rest,14,0.027881474,0.017881596,0.009829997,0.015389643,0.009511499,0.023492164,-0.008483418,-0.00158801,-0.020427039,-0.011757961,-0.010187181,0.019482375,-0.031803054
Cognition.Attention,1472,0.010981906,0.032092143,0.015526894,0.02890263,-0.008966692,-0.012362578,0.039776842,0.044097199,0.040561909,-0.010139287,0.033392054,0.01192614,0.026024423
Cognition.Language.Orthography,178,-0.01042203,-0.013259086,-0.009790795,0.043000088,-0.0252782,-0.003539011,0.028143034,0.039540389,0.028545921,-0.005261361,0.080705117,0.007729204,0.063079766
Cognition.Language.Other,72,-0.016387238,-0.030463878,-0.016197115,0.040608457,0.044189242,-0.010791725,0.037735941,0.021922472,-0.002419691,0.00847768,0.08898955,-0.010745241,0.056395853
