,Comp_Dis,A.Entropy,Labels,A.Hits,Comp_Behav,B.Entropy,B.Hits,r
0,IC-01,0.7451683818740287,Temporo-Limbic,19,IC-18,0.5909249018396613,12,0.6153399634283461
1,IC-02,0.6112559511301366,Fronto-Striatal,15,IC-14,0.5808227125616052,11,0.6151892298367672
2,IC-03,0.7036484767469208,Ventral Attention,15,IC-16,0.7721060343688437,23,0.5234963580208881
3,IC-11,0.5386593524347166,Auditory,8,IC-07,0.4084266752743498,6,0.5151313802670661
4,IC-20,0.0,Medial Visual,0,IC-20,0.2717688685857597,3,0.48192337792608486
5,IC-09,0.5357182311700684,Cognitive Control,8,IC-17,0.7083754718594609,18,0.41616176448252173
6,IC-12,0.7674082640560764,Salience,21,IC-04,0.8210623620823424,29,0.43135012318919785
7,IC-07,0.4656764905873957,R. Cent. Executive,6,IC-09,0.6671161309776016,15,0.3885925886056456
8,IC-16,0.711774999171832,L. Cent. Executive,16,IC-03,0.7165798726246172,20,0.3359827099770044
9,IC-05,0.5869785667843344,Pulvinar (Thal.),10,IC-06,0.5876466032113871,11,0.5447756430371139
10,IC-15,0.6797696316730447,MDN (Thal.),16,IC-06,0.5876466032113871,11,0.41297198519825523
11,IC-14,0.41543659168089947,Anterior DMN,5,IC-13,0.4368946273030264,6,0.37728651790767176
12,IC-18,0.4217870202016353,Posterior DMN,5,IC-13,0.4368946273030264,6,0.3053320412037223
13,IC-10,0.5049951852697431,Hand Sensorimotor,7,IC-08,0.5151189738606393,9,0.3242280778165134
14,IC-10,0.5049951852697431,Mouth Sensorimotor,7,IC-12,0.7203444867821409,19,0.33793142681768984
